id,modelo,area_especialidade,nivel_dificuldade,gabarito,resposta_modelo,acertou,enunciado
2015-16_20,llama_safe:latest,Direitos Humanos,Médio,D,D,1,"Como é sabido, o Pacto Internacional dos Direitos Civis e Políticos estabelece em seu Art. 25 que todo cidadão terá o direito e a possibilidade de votar e de ser eleito em eleições periódicas, autênti..."
2015-16_21,llama_safe:latest,Direitos Humanos,Médio,A,B,0,"Em setembro de 2014, na cidade de São Paulo, foi inaugurado o Centro de Referência e Acolhida para Imigrantes (CRAI), que é o primeiro do país e tem como objetivo oferecer a estrutura de uma casa de p..."
2015-16_22,llama_safe:latest,Direitos Humanos,Difícil,A,B,0,"A Lei nº 12.986, de 2 de junho de 2014, transformou o antigo Conselho de Defesa dos Direitos da Pessoa Humana em Conselho Nacional dos Direitos Humanos - CNDH. Esse Conselho poderá solicitar credencia..."
2015-16_23,llama_safe:latest,Direito Internacional,Médio,C,C,1,"O MERCOSUL é um organismo internacional que visa à integração econômica de países que se localizam geograficamente no eixo conhecido como Cone Sul, nos termos do Tratado de Assunção (1991) e do Protoc..."
2015-16_24,llama_safe:latest,Direito Internacional,Médio,B,B,1,"O litígio que envolve Estados e organizações internacionais, podendo ser de natureza econômica, política ou meramente jurídica, é conceituado como controvérsia internacional.
Acerca dos meios diplomát..."
2015-16_25,llama_safe:latest,Direito Tributário,Médio,D,B,0,"A União concedeu isenção, pelo prazo de cinco anos, da Contribuição para o Financiamento da Seguridade Social (COFINS) para as indústrias de veículos automotores terrestres que cumprissem determinadas..."
2015-16_26,llama_safe:latest,Direito Tributário,Médio,A,D,0,Determinado contribuinte verificou a existência de débitos vencidos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU) e da taxa de coleta de lixo com o Município M.  Os dois tributos ...
2015-16_27,llama_safe:latest,Direito Tributário,Médio,B,C,0,Uma obrigação tributária referente ao Imposto sobre Circulação de Mercadorias e Serviços (ICMS) teve seu fato gerador ocorrido em 1º de junho de 2012. O débito foi objeto de lançamento em 21 de janeir...
2015-16_28,llama_safe:latest,Direito Tributário,Difícil,C,A,0,"Em 2007, a pessoa jurídica Y recebeu notificação para pagamento de débitos de Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU). Em 2014, diante da constatação de que a contribuinte não ..."
2015-16_29,llama_safe:latest,Direito Administrativo,Fácil,B,A,0,"Carlos, servidor público federal, utilizou dois servidores do departamento que chefia para o pagamento de contas em agência bancária e para outras atividades particulares. Por essa razão, foi aberto p..."
